pointId,pointType,title,address,lon,lat,fractions,scheduleDescription,rating_score
10987,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Фадеева ул., 7с1",37.596650999999994,55.775545,ODEZHDA,,0.0
10988,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Угличская ул., 13с1",37.567455,55.901829,ODEZHDA,,0.0
10989,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Хохловский пер., 7/9с2",37.643255,55.756001,ODEZHDA,,0.0
10990,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Электролитный пр-д., 7к2",37.610565,55.67529999999998,ODEZHDA,,0.0
10991,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Новая ул., 100",37.39054,55.695547999999995,ODEZHDA,,0.0
10992,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Павелецкая пл., 2/2",37.63591209999999,55.730191500000004,ODEZHDA,,0.0
11039,RC,Контейнер для книг RE:BOOKS,"г. Москва, Новодмитровская ул., д. 1, стр. 27",37.58487399999999,55.80701899999997,BUMAGA,,1.0
11040,RC,Контейнер для книг RE:BOOKS,"г. Москва, Профсоюзная ул., д. 126, к. 3",37.51658709325219,55.630066227176606,BUMAGA,,0.0
11041,RC,Контейнер для книг RE:BOOKS,"г. Москва, ул. Нижняя Сыромятническая, д. 10, с. 12",37.66887,55.75262500000001,BUMAGA,,0.0
11085,RC,"Пункт приема техники в магазине ""Эльдорадо""","Красногорск, Международная улица, 12",37.38620199999999,55.82103199999999,BYTOVAJA_TEHNIKA,,0.0
11086,RC,"Пункт приема техники в магазине ""Эльдорадо""","Котельники, 1-й Покровский проезд, 5",37.84481,55.65951899999999,BYTOVAJA_TEHNIKA,,0.0
11101,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Россия, Москва, Алтуфьевское шоссе, 70к1",37.58866199999999,55.88839999999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11106,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Боровское шоссе 6",37.401905,55.65879400000002,BYTOVAJA_TEHNIKA,,0.0
11108,RC,"Пункт приема техники в магазине ""Эльдорадо""","Россия, Москва, Дмитровское шоссе, 163Ак1",37.541499,55.909971999999996,BYTOVAJA_TEHNIKA,,0.0
